Pieces;Part No.;Description;Material/Finish
1;20K2500T;AVENTOS HK stay lift, lift mechanism (set), PF=750-2500 (with 2 pieces), for TIP-ON;Zinc plated
2;20K7011;75° opening angle stop for AVENTOS HK;R7037 dust grey
1;20S4200;AVENTOS HS/HL/HK lift systems, front fixing bracket for wooden fronts (set), screw-on;Nickel plated
1;20K8000;AVENTOS HK stay lift, cover cap set, right+left;silk white/dark grey
1;956.1004;TIP-ON for doors (set), short version, with magnet;Silk white
